IsSuccessful,DateOfBirth,AccountCreated,IsCreatedOnline,RequestType,RequestStartDate,RequestStartTime,RequestSubmissionTime,CreatedBy
0,2023-11-26,0,1,Sale,2010-01-16,06:54,12:48,Anonymous
0,1960-05-09,1,1,Sale,2010-01-16,15:59,17:06,DW-SqUzPbdDYp-7433@aol.com
0,1983-10-28,1,1,Sale,2010-01-16,15:36,16:44,DW-OuQgYxvqRYghTM-4428@me.com
0,1975-03-22,1,1,Sale,2010-01-17,11:01,20:59,DW-ukLUPzBD-5352@yahoo.com
0,1977-06-21,1,1,Sale,2010-01-19,11:28,19:21,DW-rcOWiTcbysF-1066@live.com
1,1973-11-10,1,1,Sale,2010-01-23,10:37,12:39,DW-aNobTdvgIDi-5918@o2.pl
0,1967-02-25,1,1,Sale,2010-01-23,19:14,19:31,DW-zKXzCrLcvE-1891@zoho.com
0,1999-10-31,1,1,Sale,2010-01-23,08:08,11:16,DW-NsgYbxwVvMnTsY-0758@yahoo.com
0,2023-07-03,0,1,Rent,2010-01-24,09:35,17:31,Anonymous
0,2023-03-23,0,1,Sale,2010-01-24,06:28,10:11,Anonymous
0,2023-04-16,0,1,Rent,2010-01-25,21:22,21:28,Anonymous
1,1965-09-13,1,1,Rent,2010-01-25,16:15,22:19,DW-SycjpzeGCrbmB-8278@interia.pl
0,1991-12-26,1,1,Rent,2010-01-25,14:09,22:05,DW-RoUIfppwfBiRr-8668@outlook.com
0,2024-01-08,0,1,Rent,2010-01-26,10:54,13:34,Anonymous
1,1979-03-18,1,1,Sale,2010-01-27,12:09,21:10,DW-JhaRFHsJqZwyIK-4587@inbox.lv
0,2023-12-31,0,1,Sale,2010-01-27,10:12,19:29,Anonymous
0,1971-09-21,1,1,Rent,2010-01-28,12:35,16:26,DW-jdqImdhAO-3054@gmx.com
0,1979-03-18,1,1,Rent,2010-01-28,07:31,07:58,DW-JhaRFHsJqZwyIK-4587@inbox.lv
1,1976-09-24,1,1,Rent,2010-01-29,08:50,18:46,DW-uoUViyTHFuOiOI-0563@icloud.com
0,1983-10-11,1,1,Sale,2010-01-29,17:37,22:41,DW-pbhgVUavVhcL-3001@zoho.com
1,1981-06-16,1,1,Rent,2010-01-30,15:09,18:16,DW-ncShbjxDmlzx-0460@tutanota.com
1,2001-10-26,1,0,Sale,2010-01-30,19:43,21:59,DW-xHrlUaFPoRdMyYuc-5841@aol.com
0,1993-06-20,1,1,Sale,2010-01-30,18:10,22:18,DW-QeBFnRBFQIawdDC-7893@live.com
0,1996-06-12,1,0,Rent,2010-01-31,14:40,22:38,DW-rKGOvFbEGmAFv-0365@mail.com
1,2001-10-26,1,1,Rent,2010-02-01,07:43,10:51,DW-xScFYfQGCMZ-7751@live.com
0,2002-04-25,1,1,Rent,2010-02-01,10:06,19:47,DW-wAoTNJPUdRUOKc-6305@inbox.lv
0,1999-12-11,1,1,Rent,2010-02-01,08:04,16:25,DW-FxQELBKZ-7849@o2.pl
0,2023-11-29,0,0,Rent,2010-02-03,15:23,18:07,Anonymous
1,1978-04-18,1,1,Rent,2010-02-03,11:13,11:47,DW-RrIqdNrYN-2030@protonmail.com
1,1962-05-11,1,1,Sale,2010-02-04,07:02,16:26,DW-BQFYlNXQJDEa-1392@gmail.com
1,1974-08-30,1,1,Sale,2010-02-05,09:06,13:01,DW-qbstKyTVnf-2963@interia.pl
1,2001-09-18,1,1,Sale,2010-02-05,12:26,14:48,DW-xgmvAcOsqJvD-5706@protonmail.com
0,2023-10-14,0,0,Rent,2010-02-05,14:25,16:42,Anonymous
1,1982-04-01,1,1,Rent,2010-02-05,11:28,19:45,DW-PHXFZnXn-0378@op.pl
0,2023-02-20,0,1,Sale,2010-02-08,16:22,19:09,Anonymous
0,1992-04-27,1,1,Rent,2010-02-09,11:48,17:40,DW-nEcWJuTBlKY-7722@hotmail.com
0,1997-11-17,1,1,Rent,2010-02-09,07:28,22:05,DW-MPjfOZoR-2304@gmx.com
0,1962-05-11,1,1,Sale,2010-02-11,11:25,21:33,DW-BQFYlNXQJDEa-1392@gmail.com
1,1974-06-28,1,1,Rent,2010-02-12,06:30,10:52,DW-bjSkUtZwKSa-7281@gmx.com
1,2002-07-18,1,1,Rent,2010-02-12,09:34,15:51,DW-fMrgEApdRaAuj-4943@interia.pl
1,1965-01-30,1,1,Sale,2010-02-14,09:55,10:02,DW-qPHzhGjrx-6374@interia.pl
0,1964-01-12,1,1,Sale,2010-02-14,16:46,21:51,DW-MZISJBnFfyfI-1134@inbox.lv
1,1979-09-08,1,0,Sale,2010-02-15,06:24,20:42,DW-HFUkXhXY-9843@me.com
0,1991-10-06,1,1,Rent,2010-02-15,12:15,18:28,DW-nglTOAIJrmIUJXd-0309@o2.pl
0,2023-12-06,0,0,Sale,2010-02-16,08:16,11:33,Anonymous
0,2000-09-06,1,1,Rent,2010-02-16,16:20,16:51,DW-tlJbrZTINrTnb-8207@zoho.com
0,2023-04-29,0,1,Rent,2010-02-16,12:48,15:29,Anonymous
0,2003-09-26,1,1,Sale,2010-02-16,06:47,08:26,DW-jJzBoPjUBtX-7561@gmail.com
0,2023-07-22,0,0,Sale,2010-02-17,15:13,15:22,Anonymous
1,1982-03-18,1,1,Rent,2010-02-17,12:52,22:43,DW-CtpGGzivtwS-8550@gmail.com
1,1995-04-29,1,1,Sale,2010-02-17,15:17,15:50,DW-mnbekFZjxjdZwWkA-9019@outlook.com
0,1975-03-22,1,1,Sale,2010-02-18,18:40,19:31,DW-ukLUPzBD-5352@yahoo.com
0,2002-08-22,1,1,Rent,2010-02-20,08:26,11:17,DW-DCtyPSadjyKO-8044@inbox.lv
0,1964-01-15,1,1,Sale,2010-02-21,15:05,21:18,DW-RwBnpSdSG-1473@protonmail.com
1,1967-05-13,1,1,Sale,2010-02-21,11:44,16:44,DW-kKASVpTDJyJqBTY-1112@onet.pl
0,1966-04-21,1,1,Rent,2010-02-21,06:36,19:37,DW-kJNAkocLTWzSt-0970@o2.pl
0,1966-12-30,1,1,Sale,2010-02-21,08:47,17:34,DW-uXJsLbaJed-5197@yahoo.com
0,1992-04-27,1,1,Sale,2010-02-22,12:28,14:04,DW-nEcWJuTBlKY-7722@hotmail.com
0,1971-01-15,1,0,Rent,2010-02-22,08:51,14:10,DW-lnyWEDsIoA-1695@outlook.com
1,2002-03-18,1,1,Rent,2010-02-23,15:39,18:53,DW-YquISWWKr-4655@mail.com
1,1997-08-17,1,1,Rent,2010-02-24,18:45,22:03,DW-lNUrsxeRqrTEScI-2908@wp.pl
1,1976-04-24,1,1,Rent,2010-02-25,08:41,22:05,DW-VbaWlzVirnae-5304@icloud.com
1,1974-12-07,1,1,Rent,2010-02-27,07:00,07:13,DW-GnLfxmrT-5892@yahoo.com
1,2001-10-26,1,0,Sale,2010-02-27,17:13,21:23,DW-xHrlUaFPoRdMyYuc-5841@aol.com
1,1997-01-03,1,1,Sale,2010-02-28,16:50,18:40,DW-pQqSVlPx-9250@gmx.com
0,2023-12-07,0,1,Sale,2010-03-02,08:38,15:29,Anonymous
1,2001-12-24,1,1,Rent,2010-03-02,12:10,20:10,DW-ZpXELxXObJG-7727@protonmail.com
1,1967-05-13,1,1,Sale,2010-03-03,06:40,20:11,DW-kKASVpTDJyJqBTY-1112@onet.pl
1,1993-12-10,1,1,Rent,2010-03-04,08:30,20:36,DW-cPoCpxGxNFsPllbp-2239@zoho.com
0,2024-01-19,0,1,Sale,2010-03-04,14:31,20:00,Anonymous
0,2023-12-31,0,0,Rent,2010-03-05,15:36,16:52,Anonymous
1,1983-06-01,1,1,Rent,2010-03-05,12:04,20:46,DW-GFmIyWmopTWWcIlm-2530@aol.com
1,1992-05-24,1,0,Rent,2010-03-06,08:10,09:20,DW-mjgJObggIpduk-2885@gmx.com
0,2023-06-05,0,1,Sale,2010-03-07,06:44,15:58,Anonymous
1,1981-08-29,1,1,Rent,2010-03-07,11:16,13:48,DW-NjSvNDWzgZiAqRSb-3901@live.com
1,1974-07-21,1,1,Rent,2010-03-09,08:23,20:01,DW-AblMqwiYhVS-9046@yandex.com
1,1974-06-28,1,1,Sale,2010-03-10,09:50,14:01,DW-bjSkUtZwKSa-7281@gmx.com
1,2004-08-01,1,1,Sale,2010-03-10,09:28,11:57,DW-PEfNalgsZcYdbtZ-7503@aol.com
0,2003-11-23,1,1,Sale,2010-03-11,06:37,10:34,DW-ABCfzhsqSCjt-7969@protonmail.com
1,1975-10-28,1,1,Rent,2010-03-11,06:48,18:03,DW-EVqaFpufetIHakYv-4085@op.pl
0,1968-11-24,1,1,Sale,2010-03-11,19:30,21:41,DW-iLWtJtjtOhUBy-8464@yandex.com
0,1992-04-21,1,1,Rent,2010-03-11,07:56,20:30,DW-DiHvHWth-9479@aol.com
0,2023-01-06,0,1,Sale,2010-03-12,06:49,08:36,Anonymous
1,1962-12-31,1,1,Sale,2010-03-12,11:25,16:18,DW-wHYNwvWYSbKB-0659@tutanota.com
0,2023-05-09,0,1,Rent,2010-03-13,07:27,17:04,Anonymous
0,2023-08-29,0,1,Sale,2010-03-13,09:50,16:55,Anonymous
1,2004-06-21,1,1,Sale,2010-03-13,10:04,15:23,DW-MdeNsdoCdUwp-6840@interia.pl
0,1960-02-19,1,1,Sale,2010-03-13,10:23,12:20,DW-hNOoHxlyFgrt-9822@live.com
1,1994-10-01,1,1,Rent,2010-03-13,06:49,09:34,DW-KXSRvktMKElkaEG-0140@yandex.com
1,1995-07-01,1,1,Sale,2010-03-14,06:39,11:38,DW-APctFIkJfzsNvm-1218@mail.com
0,1977-03-18,1,1,Sale,2010-03-15,11:30,15:49,DW-VNjbUIeLBaoJLI-7952@op.pl
1,1974-06-28,1,1,Sale,2010-03-15,06:58,11:19,DW-bjSkUtZwKSa-7281@gmx.com
0,1967-10-14,1,1,Sale,2010-03-15,06:58,10:17,DW-broVFcjFHsBwhf-6266@op.pl
0,1967-06-23,1,1,Rent,2010-03-16,10:39,12:18,DW-TqnQcpOIhfn-3692@icloud.com
0,1990-06-04,1,1,Rent,2010-03-16,14:40,19:09,DW-hTVLXiaiAlN-3229@tutanota.com
1,1996-08-07,1,1,Sale,2010-03-17,14:05,19:04,DW-dbeLvzPlX-2463@aol.com
0,1976-11-14,1,1,Sale,2010-03-18,09:58,13:01,DW-UjroICTWHqCECuJ-4198@op.pl
0,1999-07-05,1,1,Sale,2010-03-18,06:19,08:48,DW-LzGkODnWeyWk-0094@aol.com
1,1980-07-27,1,0,Sale,2010-03-18,09:11,15:00,DW-GvXWcrutxSkdoR-6214@interia.pl
0,1988-11-02,1,0,Rent,2010-03-19,09:29,14:32,DW-gzPjRhKa-6173@wp.pl
0,2024-03-02,0,1,Sale,2010-03-20,20:59,22:29,Anonymous
0,1973-06-01,1,1,Sale,2010-03-20,12:41,13:12,DW-WeHpSIdUjDCWQIi-7548@gmx.com
0,2023-11-22,0,0,Sale,2010-03-22,10:36,10:54,Anonymous
0,2023-02-01,0,1,Sale,2010-03-22,07:50,21:54,Anonymous
0,2003-03-05,1,1,Rent,2010-03-23,09:49,21:15,DW-EcfFVjkvsxxqXQro-1482@tutanota.com
1,1968-07-29,1,1,Sale,2010-03-23,08:50,12:59,DW-CvBTPiwQePE-8043@yahoo.com
0,2023-09-08,0,0,Rent,2010-03-23,16:15,22:30,Anonymous
0,1974-12-07,1,1,Rent,2010-03-23,06:54,17:22,DW-GnLfxmrT-5892@yahoo.com
0,1980-06-19,1,1,Sale,2010-03-23,14:45,18:15,DW-latPmWuQkerIj-5400@wp.pl
0,1981-08-29,1,1,Sale,2010-03-24,12:06,19:41,DW-NjSvNDWzgZiAqRSb-3901@live.com
0,1986-06-22,1,1,Sale,2010-03-24,09:22,20:02,DW-FIjQpgNgIUD-1644@aol.com
0,2023-02-17,0,1,Rent,2010-03-25,11:26,12:45,Anonymous
1,1968-11-23,1,0,Rent,2010-03-25,11:11,14:56,DW-LfshDCtQmynC-2217@onet.pl
1,2004-06-21,1,1,Sale,2010-03-25,11:34,13:10,DW-MdeNsdoCdUwp-6840@interia.pl
0,1972-11-05,1,1,Rent,2010-03-25,08:07,13:18,DW-bBFovUZwxjSS-0140@gmx.com
0,1977-06-21,1,1,Rent,2010-03-26,16:34,18:26,DW-rcOWiTcbysF-1066@live.com
0,1982-09-16,1,1,Sale,2010-03-26,11:25,21:14,DW-PrQRMCsRdIQCqc-3441@aol.com
0,1963-01-05,1,1,Rent,2010-03-26,13:04,19:35,DW-klkeLPdUcszlOr-5613@me.com
0,2023-06-12,0,1,Sale,2010-03-27,08:02,19:11,Anonymous
1,1963-02-09,1,1,Rent,2010-03-27,11:29,21:00,DW-ckvwfsPQZ-2145@gmail.com
0,2023-12-14,0,1,Rent,2010-03-27,08:18,20:19,Anonymous
0,1994-10-01,1,1,Rent,2010-03-28,18:27,19:32,DW-KXSRvktMKElkaEG-0140@yandex.com
0,1993-10-07,1,1,Sale,2010-03-29,13:58,16:08,DW-hOjpnbvvDA-1369@outlook.com
0,1960-08-21,1,1,Rent,2010-03-29,10:45,15:52,DW-TILQRGjHyP-4774@hotmail.com
0,2023-06-06,0,1,Sale,2010-03-30,07:57,18:29,Anonymous
1,1986-01-03,1,1,Sale,2010-03-30,11:29,22:19,DW-emPThJoPVKJjrM-7709@tutanota.com
0,2023-06-01,0,0,Sale,2010-03-30,07:52,10:04,Anonymous
1,1975-08-25,1,1,Sale,2010-03-31,14:13,19:41,DW-ARfMobFuY-0777@yahoo.com
1,1967-05-13,1,1,Sale,2010-03-31,07:48,19:24,DW-kKASVpTDJyJqBTY-1112@onet.pl
1,1988-02-03,1,0,Rent,2010-03-31,08:10,21:37,DW-aBoshgjHjXcBBK-6474@outlook.com
0,2023-04-05,0,1,Rent,2010-04-01,07:01,08:54,Anonymous
0,1973-07-12,1,1,Rent,2010-04-01,07:57,14:50,DW-XGtKPZcEQcr-9245@op.pl
1,1974-08-30,1,1,Sale,2010-04-01,08:46,21:17,DW-qbstKyTVnf-2963@interia.pl
1,2000-09-06,1,1,Sale,2010-04-01,10:23,18:11,DW-tlJbrZTINrTnb-8207@zoho.com
1,2004-08-31,1,1,Sale,2010-04-02,11:31,14:05,DW-HGlrkGzvfSgsOnh-2404@gmx.com
1,1988-09-02,1,1,Rent,2010-04-03,07:30,18:46,DW-OsUUHBhtFExMolXV-3934@me.com
1,1981-08-29,1,1,Sale,2010-04-03,07:47,19:57,DW-NjSvNDWzgZiAqRSb-3901@live.com
0,1994-02-18,1,1,Rent,2010-04-03,11:26,15:53,DW-fEdilbFXTXqrZO-8045@wp.pl
1,1991-08-31,1,1,Sale,2010-04-03,07:24,08:21,DW-HwSghBFLRJGBm-0732@yahoo.com
0,1977-11-06,1,1,Rent,2010-04-04,12:18,13:41,DW-sfuPpgSVvrGIUQs-0972@op.pl
1,1974-08-12,1,1,Rent,2010-04-05,17:20,17:32,DW-tZRKVHnSnf-5038@yahoo.com
1,1982-04-01,1,1,Rent,2010-04-06,10:24,13:47,DW-PHXFZnXn-0378@op.pl
1,2001-09-18,1,1,Sale,2010-04-07,12:20,17:43,DW-xgmvAcOsqJvD-5706@protonmail.com
0,1984-09-10,1,1,Sale,2010-04-07,12:29,17:14,DW-AivIQrMEQvKjlc-5424@yandex.com
1,1998-07-15,1,1,Sale,2010-04-08,13:24,22:35,DW-KXMcjmVFiijbk-2721@tutanota.com
0,1994-03-10,1,1,Rent,2010-04-09,18:01,22:47,DW-zkQgwkxMBFSPeB-5679@yandex.com
0,2023-03-13,0,0,Rent,2010-04-09,08:55,20:52,Anonymous
0,1966-12-30,1,0,Rent,2010-04-09,06:45,08:10,DW-uXJsLbaJed-5197@yahoo.com
0,1996-06-07,1,1,Sale,2010-04-09,16:26,21:42,DW-xVvoPytLurcmBS-4990@gmx.com
0,1980-07-27,1,1,Rent,2010-04-10,18:22,20:52,DW-GvXWcrutxSkdoR-6214@interia.pl
0,1971-04-04,1,1,Sale,2010-04-10,07:46,11:27,DW-xuSVbAXDBlJ-4192@yandex.com
1,2001-08-23,1,1,Sale,2010-04-10,12:29,14:37,DW-pHFxCMUCH-8750@live.com
1,1998-12-11,1,1,Sale,2010-04-12,13:41,14:00,DW-qWSAtESWRhkgAwWK-7004@hotmail.com
1,1982-10-30,1,1,Rent,2010-04-16,10:44,11:15,DW-YTOaznQR-9168@live.com
0,1962-03-14,1,1,Sale,2010-04-17,08:40,20:58,DW-BZCGRMokpcsRKC-9138@aol.com
0,1979-05-30,1,1,Sale,2010-04-17,08:42,13:56,DW-NzVOXSXhZNWxw-0143@inbox.lv
1,1961-08-14,1,1,Rent,2010-04-17,21:46,22:10,DW-GPKRqBZCnBleGO-1832@aol.com
0,1996-06-12,1,1,Rent,2010-04-17,09:21,19:38,DW-rKGOvFbEGmAFv-0365@mail.com
0,2024-02-12,0,0,Sale,2010-04-18,16:54,21:30,Anonymous
1,2003-09-30,1,1,Rent,2010-04-18,10:30,14:57,DW-qEjvJpeD-8009@gmx.com
0,1991-03-26,1,0,Rent,2010-04-19,08:23,08:57,DW-aIhqpAPGBX-1583@interia.pl
0,2023-08-28,0,0,Rent,2010-04-19,10:33,21:02,Anonymous
0,1977-03-18,1,1,Rent,2010-04-19,07:29,07:45,DW-JXPPhCwILzcJHyHT-8494@tutanota.com
0,2023-03-25,0,1,Rent,2010-04-19,14:46,17:47,Anonymous
0,2023-05-27,0,1,Sale,2010-04-20,12:00,12:36,Anonymous
1,1993-11-09,1,1,Sale,2010-04-20,07:59,19:42,DW-MzlJSrnupgps-7531@yahoo.com
1,1992-06-08,1,1,Sale,2010-04-20,11:40,21:34,DW-XCokBGZQHWNs-1176@inbox.lv
0,2024-01-27,0,1,Sale,2010-04-21,09:01,21:08,Anonymous
0,1968-07-29,1,1,Sale,2010-04-21,10:07,11:13,DW-CvBTPiwQePE-8043@yahoo.com
0,1965-05-31,1,1,Rent,2010-04-22,15:07,20:40,DW-oQSgdwPqcQUiJap-2337@icloud.com
0,2003-04-24,1,0,Sale,2010-04-23,18:06,20:53,DW-QtwAOnPrw-8175@onet.pl
0,2024-01-10,0,1,Sale,2010-04-24,18:31,18:41,Anonymous
0,2023-05-23,0,0,Sale,2010-04-24,08:00,13:48,Anonymous
0,1969-03-02,1,1,Rent,2010-04-24,08:50,13:20,DW-pIJQqKdQX-3133@zoho.com
0,1998-07-15,1,0,Rent,2010-04-25,10:53,16:30,DW-KXMcjmVFiijbk-2721@tutanota.com
0,2000-12-03,1,1,Rent,2010-04-25,07:10,13:51,DW-jdbWCAidK-1414@zoho.com
1,1978-02-17,1,1,Sale,2010-04-26,15:28,18:39,DW-vICPrPHnH-4256@gmx.com
0,1962-11-16,1,1,Rent,2010-04-26,16:17,16:39,DW-kYVrQQcJavFldGix-3297@me.com
0,1971-10-05,1,1,Rent,2010-04-27,09:52,10:46,DW-REWaAMyf-5401@gmx.com
0,1970-05-15,1,1,Sale,2010-04-27,12:21,15:12,DW-mlPeVCcKuQJOQpj-8260@gmx.com
1,1996-08-26,1,1,Sale,2010-04-29,09:24,14:15,DW-IeHtQAYijo-9953@yahoo.com
0,1998-04-15,1,0,Sale,2010-04-30,14:36,22:03,DW-zzOpcuEiN-1055@gmail.com
0,1985-10-16,1,1,Sale,2010-05-01,07:24,12:38,DW-twUkyMzDqSX-1853@gmail.com
0,2023-02-07,0,0,Sale,2010-05-01,07:48,10:05,Anonymous
1,2002-03-18,1,0,Sale,2010-05-02,09:50,15:23,DW-VaOohOrxCiFAd-4054@wp.pl
0,1974-12-23,1,1,Sale,2010-05-02,09:08,15:07,DW-NDpBWFtgNy-6620@gmx.com
0,1965-01-10,1,1,Sale,2010-05-03,13:07,16:09,DW-yXdkNEGkGGv-4882@tutanota.com
0,2023-11-04,0,1,Sale,2010-05-03,18:22,21:30,Anonymous
0,2023-12-26,0,1,Rent,2010-05-03,06:44,13:06,Anonymous
0,2023-02-02,0,1,Rent,2010-05-04,06:33,20:05,Anonymous
1,1963-07-10,1,1,Sale,2010-05-04,09:25,10:21,DW-fslUGwdzmCur-5251@tutanota.com
1,1996-08-25,1,1,Sale,2010-05-04,07:41,13:22,DW-HkakynhRcRxh-6815@inbox.lv
1,2002-04-21,1,1,Sale,2010-05-05,16:14,22:04,DW-tXCfPSmVQI-3862@wp.pl
0,1961-08-14,1,1,Sale,2010-05-06,09:15,14:52,DW-GPKRqBZCnBleGO-1832@aol.com
0,1985-01-12,1,1,Rent,2010-05-06,12:24,21:56,DW-ojTmzMMraHFsMCzw-9723@gmx.com
0,1979-08-05,1,1,Rent,2010-05-07,09:25,17:24,DW-jSrZiaSfdKB-9145@gmail.com
0,1972-09-06,1,1,Sale,2010-05-08,13:09,18:02,DW-wzoiaqrbcOkxTet-0736@hotmail.com
1,1965-10-08,1,1,Sale,2010-05-08,12:32,19:08,DW-mZLCBWdKQ-1757@onet.pl
1,1983-10-30,1,1,Sale,2010-05-08,16:38,21:05,DW-olxXtQNAnmXPPZ-1067@aol.com
0,1962-06-24,1,1,Sale,2010-05-10,21:01,22:53,DW-ZltrMYKwRnRd-1508@interia.pl
1,1993-05-04,1,1,Sale,2010-05-10,08:48,19:12,DW-doqAtDhBDf-0079@me.com
1,1965-09-13,1,1,Rent,2010-05-11,06:44,11:17,DW-SycjpzeGCrbmB-8278@interia.pl
0,2023-04-20,0,1,Sale,2010-05-11,10:25,15:13,Anonymous
0,1977-12-16,1,1,Sale,2010-05-12,12:18,13:18,DW-UZrvLQPGsfrhUALE-3339@o2.pl
0,1986-10-08,1,1,Sale,2010-05-12,09:11,19:28,DW-SJBLrNNJnhkh-4148@hotmail.com
1,2000-01-07,1,1,Rent,2010-05-13,14:40,19:50,DW-WOqhoLeD-1407@yandex.com
0,1999-06-17,1,1,Rent,2010-05-13,15:07,17:13,DW-YDgQFTctUAXeN-9927@icloud.com
0,2004-12-20,1,1,Rent,2010-05-14,15:25,18:05,DW-cQrATrmapME-2551@mail.com
0,1979-01-09,1,1,Rent,2010-05-14,14:37,21:08,DW-CEufZewVkhlKqHgw-0946@mail.com
1,1970-11-25,1,1,Sale,2010-05-15,15:39,20:44,DW-qiFluJNrkb-6738@gmail.com
0,2003-03-26,1,1,Rent,2010-05-15,17:19,20:58,DW-PosKXoOgTZkr-6804@op.pl
0,1995-12-21,1,1,Rent,2010-05-16,08:19,12:35,DW-uLZBJWjjscFERGw-8145@zoho.com
0,1964-09-12,1,1,Sale,2010-05-16,14:19,14:55,DW-RrhbTGAU-7124@onet.pl
1,1989-09-07,1,1,Rent,2010-05-16,21:47,22:00,DW-HJnjcSPZBHrPV-1308@icloud.com
1,1993-02-28,1,0,Sale,2010-05-18,08:49,21:35,DW-CDWCmPJaMUycPuNe-5121@outlook.com
1,1975-10-19,1,1,Rent,2010-05-19,15:50,21:42,DW-WVPejHtsO-9828@protonmail.com
0,2004-07-09,1,1,Rent,2010-05-20,06:56,20:48,DW-tawjpGowYYWBqxPz-1845@zoho.com
0,2023-10-18,0,1,Sale,2010-05-20,10:57,14:56,Anonymous
0,2024-03-09,0,1,Sale,2010-05-20,12:25,19:15,Anonymous
1,1965-06-02,1,1,Sale,2010-05-21,08:18,13:14,DW-qOSKSQcHvXX-6679@tutanota.com
0,1995-12-21,1,1,Sale,2010-05-21,07:51,21:26,DW-uLZBJWjjscFERGw-8145@zoho.com
0,1987-12-18,1,1,Rent,2010-05-21,16:59,21:36,DW-dCGvfVvm-0544@live.com
1,1974-12-24,1,1,Rent,2010-05-22,11:08,12:04,DW-spNymWVKlKkjSu-9653@interia.pl
0,1980-03-03,1,1,Sale,2010-05-22,19:51,21:13,DW-UVORolujPfpurDrb-6467@wp.pl
0,1985-07-03,1,1,Rent,2010-05-22,09:38,15:29,DW-ARycxVqqZdNxnBm-7661@aol.com
1,1998-07-15,1,0,Sale,2010-05-24,18:22,19:11,DW-KXMcjmVFiijbk-2721@tutanota.com
0,1966-10-17,1,0,Rent,2010-05-24,10:04,10:23,DW-WfCCOzpNnZ-1907@yahoo.com
1,2001-01-23,1,0,Sale,2010-05-24,17:18,18:34,DW-NjehjVliZfajKFC-0430@gmail.com
1,1999-06-17,1,1,Sale,2010-05-27,07:37,14:31,DW-YDgQFTctUAXeN-9927@icloud.com
0,1975-01-22,1,1,Sale,2010-05-28,19:32,20:11,DW-DuZIuOsE-1551@live.com
0,1976-06-05,1,0,Sale,2010-05-30,20:16,21:59,DW-RxsUZAuogOqvY-5960@tutanota.com
0,2023-12-23,0,0,Sale,2010-05-30,17:51,20:12,Anonymous
0,1983-04-11,1,0,Rent,2010-05-31,06:55,08:15,DW-XnpiuHxwUMKg-0847@wp.pl
0,2023-04-03,0,1,Sale,2010-06-01,09:16,13:40,Anonymous
1,1996-06-12,1,1,Rent,2010-06-01,11:36,21:30,DW-rKGOvFbEGmAFv-0365@mail.com
0,2023-06-02,0,0,Sale,2010-06-02,10:43,19:06,Anonymous
1,1993-12-10,1,1,Sale,2010-06-02,09:20,21:35,DW-cPoCpxGxNFsPllbp-2239@zoho.com
1,1990-12-05,1,1,Sale,2010-06-02,08:18,16:52,DW-sbudfpmFk-4023@aol.com
