EstateId,EstateType,Area,NoFloors,MarketType,DecorCondition,FK_Address,FK_OwnedBy
86,Condo,154,2,Used,BareShell,86,DW-LxdnxWVTPmReOV-0573@outlook.com
87,Flat,170,1,New,FullyDecorated,87,DW-WfCCOzpNnZ-1907@yahoo.com
88,Condo,194,2,Used,FullyDecorated,88,DW-jzseIiHwd-4804@zoho.com
89,Condo,136,2,Old,BareShell,89,DW-AXqAZEmPvEh-0328@o2.pl
90,Condo,170,2,Used,FullyDecorated,90,DW-SqUzPbdDYp-7433@aol.com
91,SingleFamily,268,1,New,FullyDecorated,91,DW-NDpBWFtgNy-6620@gmx.com
92,Flat,202,1,New,FullyDecorated,92,DW-IkylNcTto-3380@zoho.com
93,Flat,88,1,Old,InDevelopment,93,DW-ywOeSmGELMI-8246@me.com
94,SingleFamily,472,3,New,Unfinished,94,DW-ptjOvWnkwuPcz-9986@hotmail.com
95,SingleFamily,295,2,Used,InDevelopment,95,DW-OuQgYxvqRYghTM-4428@me.com
96,SingleFamily,84,1,Renovated,FullyDecorated,96,DW-aNobTdvgIDi-5918@o2.pl
97,Flat,170,1,Used,Unfinished,97,DW-NDpBWFtgNy-6620@gmx.com
98,SingleFamily,401,3,Renovated,Unfinished,98,DW-kMPPVpbhCpJtmnZ-5851@aol.com
99,SingleFamily,417,2,New,BareShell,99,DW-LaBjdmMpAtM-6344@hotmail.com
100,Condo,198,2,New,FullyDecorated,100,DW-aIhqpAPGBX-1583@interia.pl
101,SingleFamily,229,2,Used,InDevelopment,101,DW-dCGvfVvm-0544@live.com
102,Condo,113,2,Used,InDevelopment,102,DW-kjTgjVTRTOEvL-3615@op.pl
103,Flat,91,1,Used,InDevelopment,103,DW-LaBjdmMpAtM-6344@hotmail.com
104,Condo,177,2,Used,InDevelopment,104,DW-wAoTNJPUdRUOKc-6305@inbox.lv
105,Flat,108,1,New,FullyDecorated,105,DW-MZISJBnFfyfI-1134@inbox.lv
106,Condo,129,2,Used,FullyDecorated,106,DW-yRbXSJesBZuIw-0889@wp.pl
107,Condo,149,1,New,FullyDecorated,107,DW-mfTjgvdR-7369@protonmail.com
108,Condo,178,2,Used,FullyDecorated,108,DW-xuSVbAXDBlJ-4192@yandex.com
109,Flat,197,1,Used,FullyDecorated,109,DW-SqUzPbdDYp-7433@aol.com
110,Condo,147,2,Used,InDevelopment,110,DW-aIhqpAPGBX-1583@interia.pl
111,Flat,241,1,New,Unfinished,111,DW-xScFYfQGCMZ-7751@live.com
112,Flat,170,1,Old,InDevelopment,112,DW-BQccCDAbFzDQB-2358@yahoo.com
113,Condo,102,2,Used,BareShell,113,DW-OuQgYxvqRYghTM-4428@me.com
114,Flat,170,1,Used,FullyDecorated,114,DW-KunFaSFPrdpC-8811@gmx.com
115,Condo,159,1,New,FullyDecorated,115,DW-ukLUPzBD-5352@yahoo.com
116,SingleFamily,254,2,Used,FullyDecorated,116,DW-NDpBWFtgNy-6620@gmx.com
117,SingleFamily,95,2,New,InDevelopment,117,DW-NDpBWFtgNy-6620@gmx.com
118,Flat,151,1,Used,Unfinished,118,DW-dCGvfVvm-0544@live.com
119,SingleFamily,189,2,New,Unfinished,119,DW-XMaCjvEGnubvg-7021@onet.pl
120,Condo,143,2,Old,FullyDecorated,120,DW-CJCzYoSBrcinY-0552@inbox.lv
121,SingleFamily,230,2,New,Unfinished,121,DW-AXqAZEmPvEh-0328@o2.pl
122,SingleFamily,388,2,Used,InDevelopment,122,DW-OuQgYxvqRYghTM-4428@me.com
123,SingleFamily,333,1,Used,BareShell,123,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
124,Condo,168,1,Used,BareShell,124,DW-AblMqwiYhVS-9046@yandex.com
125,SingleFamily,472,2,Used,InDevelopment,125,DW-AXqAZEmPvEh-0328@o2.pl
126,Flat,220,1,New,FullyDecorated,126,DW-rcOWiTcbysF-1066@live.com
127,SingleFamily,490,2,Used,BareShell,127,DW-WfCCOzpNnZ-1907@yahoo.com
128,Flat,140,1,Used,Unfinished,128,DW-PrQRMCsRdIQCqc-3441@aol.com
129,SingleFamily,422,1,Used,BareShell,129,DW-xScFYfQGCMZ-7751@live.com
130,Flat,106,1,New,InDevelopment,130,DW-ncShbjxDmlzx-0460@tutanota.com
131,SingleFamily,238,3,Used,BareShell,131,DW-jJzBoPjUBtX-7561@gmail.com
132,SingleFamily,382,2,Old,BareShell,132,DW-SPjujOtwTExcpPR-1262@me.com
133,Flat,93,1,New,FullyDecorated,133,DW-CJCzYoSBrcinY-0552@inbox.lv
134,Flat,210,1,New,Unfinished,134,DW-kjTgjVTRTOEvL-3615@op.pl
135,Flat,155,1,Old,FullyDecorated,135,DW-MzlJSrnupgps-7531@yahoo.com
136,Flat,151,1,Used,FullyDecorated,136,DW-uoUViyTHFuOiOI-0563@icloud.com
137,Condo,123,2,Used,FullyDecorated,137,DW-pIJQqKdQX-3133@zoho.com
138,SingleFamily,364,2,Used,Unfinished,138,DW-NWeiCCRdDOoPYA-4927@onet.pl
139,SingleFamily,498,2,Used,InDevelopment,139,DW-HwSghBFLRJGBm-0732@yahoo.com
140,SingleFamily,240,2,Used,FullyDecorated,140,DW-mfTjgvdR-7369@protonmail.com
141,Flat,168,1,Used,FullyDecorated,141,DW-xuSVbAXDBlJ-4192@yandex.com
142,Condo,177,1,New,FullyDecorated,142,DW-LaBjdmMpAtM-6344@hotmail.com
143,SingleFamily,166,1,New,FullyDecorated,143,DW-iwoeSFzdGD-5525@protonmail.com
144,Flat,43,1,Old,Unfinished,144,DW-wAoTNJPUdRUOKc-6305@inbox.lv
145,SingleFamily,195,2,Old,InDevelopment,145,DW-jdqImdhAO-3054@gmx.com
146,Condo,164,2,Used,BareShell,146,DW-FtTDMwAa-4639@zoho.com
147,Flat,96,1,Used,FullyDecorated,147,DW-hTVLXiaiAlN-3229@tutanota.com
148,Condo,143,2,New,InDevelopment,148,DW-WfCCOzpNnZ-1907@yahoo.com
149,Condo,106,2,Used,FullyDecorated,149,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
150,SingleFamily,220,1,New,FullyDecorated,150,DW-aIhqpAPGBX-1583@interia.pl
151,Flat,59,1,Used,InDevelopment,151,DW-VpJNZqVXSI-6644@icloud.com
152,Flat,99,1,Old,BareShell,152,DW-nEcWJuTBlKY-7722@hotmail.com
153,SingleFamily,130,2,Renovated,Unfinished,153,DW-HwSghBFLRJGBm-0732@yahoo.com
154,SingleFamily,149,1,New,FullyDecorated,154,DW-NWeiCCRdDOoPYA-4927@onet.pl
155,Flat,208,1,New,FullyDecorated,155,DW-aNobTdvgIDi-5918@o2.pl
156,Condo,119,1,Used,FullyDecorated,156,DW-zKXzCrLcvE-1891@zoho.com
157,SingleFamily,264,3,Used,FullyDecorated,157,DW-zKXzCrLcvE-1891@zoho.com
158,SingleFamily,230,2,New,InDevelopment,158,DW-xuSVbAXDBlJ-4192@yandex.com
159,SingleFamily,397,2,Used,Unfinished,159,DW-NsgYbxwVvMnTsY-0758@yahoo.com
160,SingleFamily,460,2,Used,FullyDecorated,160,DW-JhaRFHsJqZwyIK-4587@inbox.lv
161,Flat,143,1,New,FullyDecorated,161,DW-SqUzPbdDYp-7433@aol.com
162,SingleFamily,145,2,Used,FullyDecorated,162,DW-rRhVRYTFKfwD-2382@live.com
163,Condo,140,2,Used,FullyDecorated,163,DW-nEcWJuTBlKY-7722@hotmail.com
164,SingleFamily,315,1,Renovated,Unfinished,164,DW-dCGvfVvm-0544@live.com
165,Flat,120,2,New,FullyDecorated,165,DW-pbhgVUavVhcL-3001@zoho.com
166,SingleFamily,170,1,Used,InDevelopment,166,DW-NDotOEavshBzE-5889@wp.pl
167,Condo,194,2,Renovated,InDevelopment,167,DW-qFaGBhuF-5132@mail.com
168,SingleFamily,385,1,Used,FullyDecorated,168,DW-CvBTPiwQePE-8043@yahoo.com
169,Flat,100,1,New,Unfinished,169,DW-kMPPVpbhCpJtmnZ-5851@aol.com
170,SingleFamily,162,1,Used,InDevelopment,170,DW-PccPmTnupYrFDbTY-6849@interia.pl
171,Flat,95,1,New,FullyDecorated,171,DW-fIAFoPsRikDTQ-3550@me.com
172,SingleFamily,348,3,Used,InDevelopment,172,DW-sTMbjkXn-9843@live.com
173,SingleFamily,254,2,Old,InDevelopment,173,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
174,Condo,169,2,Old,FullyDecorated,174,DW-NDpBWFtgNy-6620@gmx.com
175,Condo,126,1,Used,FullyDecorated,175,DW-yRbXSJesBZuIw-0889@wp.pl
176,Flat,223,1,Old,Unfinished,176,DW-HUKBpcPrjY-6493@hotmail.com
177,SingleFamily,479,1,Used,FullyDecorated,177,DW-KunFaSFPrdpC-8811@gmx.com
178,SingleFamily,440,2,New,FullyDecorated,178,DW-HwSghBFLRJGBm-0732@yahoo.com
179,Flat,150,1,Renovated,Unfinished,179,DW-SycjpzeGCrbmB-8278@interia.pl
180,Condo,161,1,Used,BareShell,180,DW-WVPejHtsO-9828@protonmail.com
181,Flat,96,1,Old,FullyDecorated,181,DW-RoUIfppwfBiRr-8668@outlook.com
182,SingleFamily,372,1,New,FullyDecorated,182,DW-mlPeVCcKuQJOQpj-8260@gmx.com
183,Flat,77,1,Old,Unfinished,183,DW-jzseIiHwd-4804@zoho.com
184,Flat,40,1,Old,FullyDecorated,184,DW-ODAaOxpQ-0051@hotmail.com
185,Condo,183,1,New,FullyDecorated,185,DW-ynDsNpEydFa-7494@yandex.com
186,Flat,20,1,New,FullyDecorated,186,DW-yWFXsBOAVeitnVQn-5183@gmail.com
187,Flat,44,1,Used,FullyDecorated,187,DW-uoUViyTHFuOiOI-0563@icloud.com
188,Condo,193,1,Used,Unfinished,188,DW-ptjOvWnkwuPcz-9986@hotmail.com
189,Flat,233,1,Used,FullyDecorated,189,DW-SqUzPbdDYp-7433@aol.com
190,Flat,36,1,Renovated,FullyDecorated,190,DW-ToYtMTwEYmoIC-4672@onet.pl
191,SingleFamily,117,1,New,Unfinished,191,DW-NDpBWFtgNy-6620@gmx.com
192,Flat,233,1,New,FullyDecorated,192,DW-mfTjgvdR-7369@protonmail.com
193,Flat,178,1,Old,BareShell,193,DW-JhaRFHsJqZwyIK-4587@inbox.lv
194,SingleFamily,347,1,New,InDevelopment,194,DW-nYVXSRXiE-7541@op.pl
195,Condo,160,2,New,Unfinished,195,DW-fIAFoPsRikDTQ-3550@me.com
196,Flat,26,1,New,Unfinished,196,DW-HwSghBFLRJGBm-0732@yahoo.com
197,Condo,131,2,Used,Unfinished,197,DW-RfKQgiyPinFgWl-8951@interia.pl
198,SingleFamily,452,2,Renovated,Unfinished,198,DW-jdqImdhAO-3054@gmx.com
199,Flat,116,1,New,FullyDecorated,199,DW-kjTgjVTRTOEvL-3615@op.pl
200,Flat,173,1,New,FullyDecorated,200,DW-GWCwBrDuIhtBpXsw-4102@aol.com
201,Flat,38,1,New,FullyDecorated,201,DW-AXqAZEmPvEh-0328@o2.pl
202,Flat,31,1,Old,InDevelopment,202,DW-JhaRFHsJqZwyIK-4587@inbox.lv
203,Condo,181,1,Used,FullyDecorated,203,DW-YTOaznQR-9168@live.com
204,SingleFamily,164,3,Used,FullyDecorated,204,DW-ZekpZUdcvL-5712@inbox.lv
205,SingleFamily,485,2,New,FullyDecorated,205,DW-dbeLvzPlX-2463@aol.com
206,SingleFamily,138,1,Used,Unfinished,206,DW-NDpBWFtgNy-6620@gmx.com
207,Flat,85,1,Used,FullyDecorated,207,DW-nYVXSRXiE-7541@op.pl
208,Flat,225,1,Used,FullyDecorated,208,DW-uoUViyTHFuOiOI-0563@icloud.com
209,Flat,250,1,Used,FullyDecorated,209,DW-rRhVRYTFKfwD-2382@live.com
210,SingleFamily,493,1,New,FullyDecorated,210,DW-yRbXSJesBZuIw-0889@wp.pl
211,Flat,222,1,Used,FullyDecorated,211,DW-ODAaOxpQ-0051@hotmail.com
212,SingleFamily,183,2,Used,Unfinished,212,DW-PHXFZnXn-0378@op.pl
213,Flat,169,1,New,InDevelopment,213,DW-pbhgVUavVhcL-3001@zoho.com
214,Flat,56,1,Used,Unfinished,214,DW-dCGvfVvm-0544@live.com
215,SingleFamily,327,2,Renovated,FullyDecorated,215,DW-HUKBpcPrjY-6493@hotmail.com
216,Flat,245,1,Renovated,FullyDecorated,216,DW-pbhgVUavVhcL-3001@zoho.com
217,SingleFamily,411,2,Used,FullyDecorated,217,DW-MZISJBnFfyfI-1134@inbox.lv
218,SingleFamily,94,2,Used,FullyDecorated,218,DW-WVPejHtsO-9828@protonmail.com
219,SingleFamily,196,2,Used,FullyDecorated,219,DW-ncShbjxDmlzx-0460@tutanota.com
220,SingleFamily,237,2,Used,Unfinished,220,DW-xHrlUaFPoRdMyYuc-5841@aol.com
221,SingleFamily,129,2,New,FullyDecorated,221,DW-PccPmTnupYrFDbTY-6849@interia.pl
222,Flat,211,1,Renovated,InDevelopment,222,DW-uoUViyTHFuOiOI-0563@icloud.com
223,Flat,183,1,New,FullyDecorated,223,DW-CvBTPiwQePE-8043@yahoo.com
224,Flat,219,1,Renovated,FullyDecorated,224,DW-ptjOvWnkwuPcz-9986@hotmail.com
225,Condo,127,2,Used,FullyDecorated,225,DW-PccPmTnupYrFDbTY-6849@interia.pl
226,SingleFamily,301,1,Used,FullyDecorated,226,DW-QeBFnRBFQIawdDC-7893@live.com
227,Flat,88,1,New,FullyDecorated,227,DW-FtTDMwAa-4639@zoho.com
228,Condo,178,2,Old,InDevelopment,228,DW-rKGOvFbEGmAFv-0365@mail.com
229,Flat,236,2,New,Unfinished,229,DW-uKKmETAt-7970@o2.pl
230,SingleFamily,403,1,Used,Unfinished,230,DW-mYUusqOOVnImvXkj-2611@wp.pl
231,Condo,109,2,Used,InDevelopment,231,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
232,SingleFamily,165,2,Old,FullyDecorated,232,DW-pbhgVUavVhcL-3001@zoho.com
233,Flat,157,1,New,FullyDecorated,233,DW-xScFYfQGCMZ-7751@live.com
234,Flat,133,1,New,FullyDecorated,234,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
235,Condo,121,2,Old,FullyDecorated,235,DW-RwBnpSdSG-1473@protonmail.com
236,Flat,124,1,Used,FullyDecorated,236,DW-pIJQqKdQX-3133@zoho.com
237,Flat,46,1,Used,InDevelopment,237,DW-nQAvedccWLA-2851@hotmail.com
238,Flat,249,1,Old,InDevelopment,238,DW-iwoeSFzdGD-5525@protonmail.com
239,SingleFamily,364,1,Used,InDevelopment,239,DW-JhaRFHsJqZwyIK-4587@inbox.lv
240,Flat,96,1,Used,FullyDecorated,240,DW-wAoTNJPUdRUOKc-6305@inbox.lv
241,Flat,211,1,Used,FullyDecorated,241,DW-GFmIyWmopTWWcIlm-2530@aol.com
242,Flat,27,1,Used,Unfinished,242,DW-FxQELBKZ-7849@o2.pl
243,Condo,102,2,Used,FullyDecorated,243,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
244,SingleFamily,431,1,Used,BareShell,244,DW-DCtyPSadjyKO-8044@inbox.lv
245,Flat,109,1,Used,Unfinished,245,DW-ARycxVqqZdNxnBm-7661@aol.com
246,SingleFamily,110,2,Used,Unfinished,246,DW-iZBUFpSTAMarkKzn-3375@tutanota.com
247,Condo,137,2,Old,Unfinished,247,DW-alWfgcrg-1823@gmx.com
248,SingleFamily,94,1,Used,Unfinished,248,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
249,Condo,118,2,New,FullyDecorated,249,DW-sTMbjkXn-9843@live.com
250,SingleFamily,263,2,Renovated,FullyDecorated,250,DW-HUKBpcPrjY-6493@hotmail.com
251,SingleFamily,384,2,New,FullyDecorated,251,DW-aIhqpAPGBX-1583@interia.pl
252,Condo,173,2,Renovated,FullyDecorated,252,DW-YTOaznQR-9168@live.com
253,SingleFamily,208,2,Used,InDevelopment,253,DW-nSzyfqllWGToFp-4677@wp.pl
254,Flat,244,1,Old,BareShell,254,DW-vgCtMaiAa-9804@live.com
255,SingleFamily,372,2,Used,FullyDecorated,255,DW-yWFXsBOAVeitnVQn-5183@gmail.com
256,Flat,166,1,Used,FullyDecorated,256,DW-RrIqdNrYN-2030@protonmail.com
257,SingleFamily,104,2,New,Unfinished,257,DW-klwAKgwZlQBi-3178@o2.pl
258,Condo,173,2,Renovated,FullyDecorated,258,DW-ODAaOxpQ-0051@hotmail.com
259,Flat,116,1,New,FullyDecorated,259,DW-HwSghBFLRJGBm-0732@yahoo.com
260,SingleFamily,430,3,New,FullyDecorated,260,DW-KunFaSFPrdpC-8811@gmx.com
261,Flat,20,1,New,FullyDecorated,261,DW-BQccCDAbFzDQB-2358@yahoo.com
262,Condo,110,2,New,BareShell,262,DW-QeBFnRBFQIawdDC-7893@live.com
263,Flat,205,1,Used,BareShell,263,DW-uXJsLbaJed-5197@yahoo.com
264,Condo,167,2,Used,FullyDecorated,264,DW-vgCtMaiAa-9804@live.com
265,SingleFamily,465,2,Used,InDevelopment,265,DW-ARycxVqqZdNxnBm-7661@aol.com
266,Condo,185,2,Used,Unfinished,266,DW-BQFYlNXQJDEa-1392@gmail.com
267,Condo,147,2,Used,FullyDecorated,267,DW-YTOaznQR-9168@live.com
268,Condo,101,2,Used,FullyDecorated,268,DW-ptjOvWnkwuPcz-9986@hotmail.com
269,Condo,120,2,New,FullyDecorated,269,DW-lxuWEXvSPiYKcX-1152@interia.pl
270,SingleFamily,145,2,New,FullyDecorated,270,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
271,Flat,62,1,Used,InDevelopment,271,DW-kkxqgIxiK-2203@icloud.com
272,Condo,149,2,New,FullyDecorated,272,DW-qbstKyTVnf-2963@interia.pl
273,Condo,107,2,New,InDevelopment,273,DW-xgmvAcOsqJvD-5706@protonmail.com
274,SingleFamily,140,1,Old,Unfinished,274,DW-cdxmYCYNvToF-8880@outlook.com
275,Flat,218,1,Used,FullyDecorated,275,DW-aNobTdvgIDi-5918@o2.pl
276,SingleFamily,389,2,Used,BareShell,276,DW-mYUusqOOVnImvXkj-2611@wp.pl
277,Condo,196,1,New,FullyDecorated,277,DW-pIJQqKdQX-3133@zoho.com
278,Condo,118,2,New,FullyDecorated,278,DW-PHXFZnXn-0378@op.pl
279,Condo,114,2,New,Unfinished,279,DW-WVPejHtsO-9828@protonmail.com
280,Flat,46,1,Used,Unfinished,280,DW-YTOaznQR-9168@live.com
281,SingleFamily,289,1,Used,Unfinished,281,DW-kkxqgIxiK-2203@icloud.com
282,Condo,147,2,Old,Unfinished,282,DW-WVPejHtsO-9828@protonmail.com
283,SingleFamily,460,2,Used,BareShell,283,DW-dMsSGSrzElDkeNY-8161@me.com
284,Condo,106,1,New,FullyDecorated,284,DW-CJCzYoSBrcinY-0552@inbox.lv
285,Condo,129,2,Used,FullyDecorated,285,DW-dCGvfVvm-0544@live.com
286,Condo,184,2,New,BareShell,286,DW-emPThJoPVKJjrM-7709@tutanota.com
287,SingleFamily,427,2,Used,FullyDecorated,287,DW-ZSggpKoOiEqt-3565@zoho.com
288,Flat,22,1,Old,FullyDecorated,288,DW-tAklGbELcV-9161@inbox.lv
289,Flat,76,1,New,Unfinished,289,DW-bDLTHqnbvDm-9408@mail.com
290,SingleFamily,317,2,New,FullyDecorated,290,DW-MZISJBnFfyfI-1134@inbox.lv
291,SingleFamily,275,2,Used,FullyDecorated,291,DW-UqajAUSaXCTNtb-3294@gmail.com
292,Condo,114,2,Used,FullyDecorated,292,DW-aNobTdvgIDi-5918@o2.pl
293,Condo,161,2,Used,FullyDecorated,293,DW-AXqAZEmPvEh-0328@o2.pl
