LicenseNumber,Name,Surname,PhoneNumber,EmailAddress,Address,EmploymentStatus,StartDate,Specialization,WorkingHours,AvailabilityStatus,CommissionFee,Remarks
93456,William,White,368670908,DW-vbfXfqEs-6934@zoho.com,Malinowa,Full-time,2006-01-10,Commercial,9-17,Available,2.6699999999999924,
97767,Brian,Kowalski,802128958,DW-tMNUaXxZT-4165@outlook.com,Pulawska,Full-time,1952-12-22,Residential,7-15,Available,3.019999999999991,
98744,Anthony,Lewis,455094626,DW-HIlgytSpw-4816@hotmail.com,Winogronowa,Full-time,1996-11-05,Residential,6-14,Available,2.9199999999999946,
82498,Charles,Jones,441517953,DW-SUTGdWDcImjgD-3679@outlook.com,Sienkiewicza,Full-time,1990-03-16,Residential,6-15,Available,2.4799999999999933,
51351,William,White,980831896,DW-gnVGviEpxxJmxx-6854@aol.com,Witosa,Full-time,1952-06-22,Commercial,8-17,Available,1.8300000000000003,
88102,Joshua,Davis,641136619,DW-SnyeblBgiaqH-8279@live.com,Reymonta,Full-time,2012-02-08,Rental,7-15,Available,2.2199999999999953,
93326,Alex,Lopez,780993749,DW-qMjNwSeaVoIq-6102@icloud.com,Topolowa,Full-time,1972-02-11,Residential,10-18,Available,3.169999999999995,
84618,Isaac,Martinez,699219022,DW-vgOyKUtieVbeX-8010@onet.pl,Szkolna,Part-time,2018-02-18,Residential,7-16,On Leave,1.4100000000000006,
82310,Michael,Scott,899216938,DW-OsHWboJbMEdzrsT-4036@icloud.com,Krotka,Full-time,1957-01-22,Residential,7-15,Available,2.0799999999999983,
18116,Aaron,Clark,700437343,DW-pMOWUcGpDpQF-6232@o2.pl,Koszykowa,Full-time,1994-08-20,Residential,7-15,On Leave,3.4399999999999893,
81538,Sean,Martin,391422063,DW-drxdKJBnoTQYcpe-9342@icloud.com,Nowowiejska,Full-time,2021-08-13,Residential,7-16,Available,1.87,
14847,Jason,Moore,281235595,DW-lxFledtErnidgu-9145@op.pl,Slowackiego,Full-time,1952-08-28,Residential,8-16,On Leave,3.2199999999999913,
24069,Charles,Davis,745535221,DW-gwIMIcSmTJIM-1737@yahoo.com,Sobieskiego,Full-time,1957-10-22,Residential,6-15,Available,2.9299999999999926,
79186,Charles,Green,569621048,DW-pTpSfjWLJdSFZds-0112@o2.pl,Lesna,Full-time,1972-01-02,Residential,7-15,Available,1.52,
47614,Adam,Gonzalez,770501479,DW-zIlVySXqvvyp-7799@outlook.com,Krucza,Full-time,2008-03-08,Commercial,10-18,Available,3.2399999999999944,
28519,Daniel,Lopez,741592976,DW-eBMmgsZSDsB-9450@yahoo.com,Szkolna,Full-time,2001-11-14,Rental,6-15,Available,1.8100000000000003,
20082,Eric,Lewis,647383585,DW-ukoQSSTNzjmzeI-1283@zoho.com,Moniuszki,Full-time,1973-07-03,Residential,8-16,Available,2.899999999999994,
48583,William,Thomas,979244192,DW-QFRjBvKnMr-2042@interia.pl,Prusa,Full-time,2002-08-28,Commercial,9-17,Available,3.029999999999995,
17661,Kevin,Hill,232783404,DW-wuoCPPwqPeKDh-6740@hotmail.com,Sosnowa,Full-time,1984-04-17,Rental,6-15,Available,1.83,
61894,Thomas,Hill,707161607,DW-warMUwjytMKWWA-2465@live.com,Orzeszkowej,Full-time,1993-06-25,Residential,8-17,Available,1.4400000000000002,
19587,Richard,Lewis,547278208,DW-iwiuFKzMzO-0368@wp.pl,Jasna,Full-time,2002-06-09,Rental,6-15,Available,1.98,
24240,Jason,Bond,780059443,DW-dYqoQsrvGB-8919@yandex.com,Pilsudskiego,Full-time,1995-03-12,Rental,6-15,Available,1.86,
21911,Eli,Baker,424314179,DW-iCFDTCMTfhdQPIYU-1501@yahoo.com,Polna,Full-time,1951-10-01,Residential,8-16,Available,2.1999999999999957,
60875,Gabriel,Ramirez,953614624,DW-wpFALYlEzSsJ-0791@o2.pl,Jasna,Full-time,1951-04-03,Residential,7-15,Available,2.849999999999994,
33385,Sean,Miller,516230339,DW-TcRmzSSCSHclshu-7599@op.pl,Rynek,Part-time,1989-08-07,Rental,7-15,Available,3.199999999999994,
28843,Jonathan,Miller,862331024,DW-kdAnmfYYoEgjkBvg-3002@outlook.com,Chopina,Full-time,1981-05-19,Commercial,7-15,On Leave,2.0199999999999996,
36869,David,Martin,595023760,DW-CHTrExIUOgrI-0300@protonmail.com,Orzeszkowej,Full-time,1980-09-21,Residential,8-17,Available,2.7599999999999936,
68126,Thomas,Hill,186363861,DW-DruibZREl-0969@live.com,Morelowa,Full-time,1962-04-30,Rental,6-15,Available,1.7600000000000002,
51309,Joshua,Moore,265516995,DW-ZnflqOzZagyD-3812@wp.pl,Dworcowa,Full-time,1959-05-13,Residential,9-17,Available,2.4099999999999944,
80546,Owen,Adams,504850014,DW-xxrjEVviYDqNf-2621@op.pl,Polna,Full-time,2021-03-11,Commercial,8-17,Available,2.729999999999995,
49547,Christopher,Adams,837361205,DW-sgoskijzQHQJOZIu-3533@o2.pl,Koscielna,Full-time,2007-11-14,Residential,9-17,Available,2.8799999999999923,
94382,Isaac,Green,899187966,DW-MpCrzWHPLZIO-6580@interia.pl,Polna,Full-time,1956-07-04,Rental,8-16,Available,3.029999999999996,
70820,Ryan,Martin,461900646,DW-XEFoQjPKqd-9614@live.com,Wesola,Full-time,2022-02-08,Residential,8-17,Available,2.0299999999999994,
21563,Kyle,Anderson,753301828,DW-uiwIVFMwtJ-6330@mail.com,Krasinskiego,Part-time,1955-01-21,Rental,6-15,Available,1.9200000000000006,
10561,Nathan,Bond,752296844,DW-WhPPaKnDWlPtj-6635@o2.pl,Modrzewiowa,Full-time,1980-11-09,Commercial,7-15,Available,1.85,
32543,Adam,Thompson,954796429,DW-sNzqBmXF-2448@gmx.com,Polna,Full-time,1950-04-02,Commercial,10-18,Available,1.32,
20468,Luke,White,134465216,DW-zDIxIZsNzFjt-7599@live.com,Koscielna,Full-time,1977-05-24,Rental,8-16,Available,1.97,
91071,Owen,Allen,892158056,DW-ohMbEAwjdoFkFuAR-1931@tutanota.com,Chopina,Full-time,1976-06-30,Rental,10-18,Available,2.3399999999999945,
98117,Jonathan,Miller,741646453,DW-UNcwZqiwSn-9720@onet.pl,Zielona,Full-time,2018-06-20,Residential,10-18,Available,2.4499999999999966,
70506,Aaron,Allen,952245861,DW-iqVfSCevvhOtv-1090@me.com,Lesna,Full-time,1976-09-13,Commercial,6-15,Available,2.7499999999999933,
95172,Jacob,Wilson,790171091,DW-JcckpTsBmlSPXte-7896@o2.pl,Krasinskiego,Full-time,1957-03-06,Commercial,9-17,On Leave,2.7299999999999964,
10001,Connor,Kowalski,626550434,DW-foUWwBKsoMgqiX-2854@inbox.lv,Moniuszki,Full-time,1955-04-05,Residential,7-15,Available,1.33,
41263,Jacob,Thompson,790282519,DW-QBRJDSJcIUSSJ-7523@yahoo.com,Orzeszkowej,Full-time,2006-09-06,Rental,8-17,Available,2.099999999999998,
34489,Steve,Kowalski,500266947,DW-hynIMGSVOWhwruL-9470@onet.pl,Swierkowa,Full-time,1981-09-18,Residential,9-17,On Leave,2.1099999999999977,
39937,Gabriel,Lopez,136366875,DW-TKJcxDXK-8408@hotmail.com,Wyspianskiego,Full-time,1978-02-14,Commercial,7-15,Available,2.0299999999999994,
65019,Nathan,Jones,810835745,DW-yJRkPTsmvPq-1324@mail.com,Krasinskiego,Full-time,2008-11-20,Residential,9-17,On Leave,1.7100000000000002,
79769,Nicholas,Hall,141582786,DW-krvozMOHOEI-5225@protonmail.com,Dworcowa,Full-time,1998-01-14,Residential,7-16,Available,2.779999999999995,
18098,Brandon,Hill,689204394,DW-WOKwNdmxQfQnJAx-3276@o2.pl,Spokojna,Part-time,2012-11-18,Residential,6-14,Available,2.7899999999999956,
63308,Eli,Thomas,490982975,DW-MNGtjZPIx-7466@live.com,Jesionowa,Full-time,1995-02-09,Residential,7-15,On Leave,2.7499999999999964,
80634,Eli,Campbell,414743198,DW-HKtXVcPyIQhLY-0637@onet.pl,Jana Pawla II,Part-time,1975-09-02,Commercial,9-17,Available,1.29,
65751,Matthew,Martin,574227380,DW-JTKRSAwwgnCsGc-0169@aol.com,Dworcowa,Full-time,2011-07-21,Rental,7-16,Available,2.639999999999995,
58370,Mason,Martin,964343031,DW-HXGRdoCjMcYs-0605@zoho.com,Brzozowa,Full-time,1998-01-13,Residential,10-18,Available,1.7600000000000002,
79238,Andrew,Lee,278742822,DW-MIOhjCQbQLgexbT-5106@me.com,Waska,Full-time,2018-08-08,Residential,8-16,On Leave,1.4800000000000002,
94607,Robert,Perez,448749460,DW-yWmoshZoql-2942@hotmail.com,Dluga,Full-time,2022-02-09,Commercial,6-14,Available,1.9300000000000002,
17453,Isaac,Kowalski,612386391,DW-OujMxVNETaB-6455@inbox.lv,Wladyslawa IV,Full-time,1959-08-04,Residential,9-17,Available,2.339999999999997,
88283,Christian,Harris,567185012,DW-HdsIRJDNAGovQ-8004@yandex.com,Klonowa,Full-time,1986-08-13,Rental,8-17,Available,2.759999999999995,
97172,Steve,Hernandez,572011586,DW-EkehvkGedW-9139@icloud.com,Jagodowa,Full-time,2000-06-03,Residential,8-17,Available,2.7099999999999973,
46833,Charles,Anderson,207308866,DW-ssFSvvFm-4176@o2.pl,Brzozowa,Part-time,1965-09-11,Residential,7-15,On Leave,1.1700000000000002,
80552,Richard,Baker,742279886,DW-dOgpXNwipYyAj-6494@gmail.com,Morelowa,Full-time,2004-05-19,Commercial,7-15,Available,2.859999999999996,
68830,Christopher,Campbell,518498632,DW-upqQZecnO-1613@outlook.com,Modrzewiowa,Full-time,1971-09-10,Residential,8-16,Available,3.0499999999999963,
74380,Daniel,Johnson,660564410,DW-QojMBvnHh-2591@icloud.com,Targowa,Full-time,2005-06-14,Residential,6-15,Available,1.5100000000000002,
82120,Nathan,Campbell,708720709,DW-jwaetEoTyxAyurgJ-7940@wp.pl,Dabrowska,Full-time,2021-01-09,Commercial,6-14,Available,1.1900000000000002,
14106,Michael,Sanchez,498864336,DW-AxhMswWCAOx-3791@outlook.com,Jabloniowa,Full-time,1971-02-11,Commercial,9-17,Available,2.1999999999999957,
87474,Logan,Jackson,823622657,DW-JfPKEDvm-2031@yandex.com,Zaciszna,Full-time,2008-02-20,Rental,6-14,On Leave,3.039999999999997,
66458,Henry,Moore,928084893,DW-dhKmlOpTqkDm-6463@hotmail.com,Lesna,Part-time,1994-12-14,Rental,6-15,Available,1.55,
84201,Connor,Adams,651752370,DW-xXPgYIPiY-1195@protonmail.com,Gorna,Full-time,1953-07-13,Rental,8-16,On Leave,1.76,
84945,Nicholas,Mitchell,600444349,DW-KWPBqMXVThO-3603@wp.pl,Polna,Full-time,2007-08-16,Rental,9-17,Available,1.4000000000000001,
43314,Kyle,Hill,483527214,DW-WEqdbETDQsol-3013@yahoo.com,Akacjowa,Full-time,1984-09-27,Residential,8-17,Available,1.6300000000000001,
50812,Jason,Miller,403039883,DW-ZYFmBOoB-8720@mail.com,Cicha,Full-time,1983-01-31,Rental,7-16,Available,2.0199999999999996,
51072,Andrew,Wilson,894937989,DW-ZRALABcsSGk-5690@protonmail.com,Sloneczna,Full-time,2017-06-16,Rental,6-14,Available,1.31,
81943,Michael,Jackson,330577083,DW-AMGMaRRInND-0975@gmail.com,Chopina,Full-time,2020-02-12,Rental,9-17,Available,1.31,
94266,John,Lopez,101459959,DW-iEnezSpwRtui-7323@gmail.com,Jana Pawla II,Full-time,2019-11-10,Commercial,8-17,Available,2.989999999999996,
77938,Aaron,Lopez,236984809,DW-GVidJdfaCR-4491@live.com,Koszykowa,Full-time,1965-04-30,Residential,6-15,Available,2.7599999999999962,
92964,Michael,Jackson,216188065,DW-qctkKhLDWBtpDoK-8401@interia.pl,Konopnickiej,Full-time,1998-01-10,Rental,10-18,Available,1.33,
11440,Andrew,Martinez,989220433,DW-ejHVDfvg-8513@protonmail.com,Zaciszna,Full-time,1974-01-20,Commercial,6-15,Available,1.9500000000000002,
89854,Christian,Smith,862114201,DW-wHHzisMoEJHmL-7317@live.com,Krasinskiego,Full-time,2005-12-18,Residential,8-17,Available,1.84,
67961,Nicholas,Rodriguez,989012399,DW-XnDOWibof-6946@outlook.com,Malinowa,Part-time,1964-07-14,Rental,8-16,On Leave,2.639999999999998,
96355,John,Nelson,214651562,DW-VPQZSWCgAfY-9927@o2.pl,Jesionowa,Full-time,1960-04-16,Rental,7-15,Available,1.7500000000000002,
92556,Michael,Robinson,520895746,DW-uwHJIHTZrvoOEV-4972@op.pl,Sobieskiego,Full-time,2001-05-08,Commercial,8-17,Available,1.37,
22114,Andrew,Lee,976613184,DW-LBAXKvMBTbemWvu-0397@gmx.com,Topolowa,Full-time,2000-11-29,Commercial,9-17,Available,1.9100000000000001,
74356,Ryan,Adams,166807131,DW-MFUiBpRj-8120@tutanota.com,Jagodowa,Part-time,1953-01-13,Residential,6-15,Available,2.6599999999999975,
32552,Andrew,Perez,362184802,DW-osBEDBpjXMtpB-4490@yahoo.com,Zaciszna,Part-time,1962-10-17,Residential,9-17,Available,1.54,
99637,Jonathan,Jones,962528526,DW-XWWzWuTyFSguyd-3075@o2.pl,Borowa,Part-time,1986-07-03,Residential,9-17,Available,2.829999999999997,
36703,Brian,Perez,775585730,DW-edodaOgLeN-6320@o2.pl,Sloneczna,Full-time,2014-03-05,Residential,9-17,Available,2.909999999999997,
74578,Samuel,Thompson,723679107,DW-BcroaiKhvK-6518@aol.com,Parkowa,Full-time,2008-06-05,Commercial,7-15,Available,1.6300000000000001,
12478,Kyle,Torres,226369502,DW-hHOCeaHlRZGPBcdC-1278@inbox.lv,Polna,Full-time,2019-12-11,Commercial,8-17,Available,2.7299999999999978,
86153,Andrew,Williams,183704966,DW-uvJJKkJJi-4147@onet.pl,Wladyslawa IV,Full-time,1998-05-05,Residential,8-16,Available,1.6700000000000002,
23635,Jason,Robinson,649264988,DW-pbMUPXkYmXrMcZWz-5445@icloud.com,Targowa,Full-time,1992-08-30,Rental,8-17,Available,2.5199999999999974,
10768,Dylan,Lee,256059243,DW-qejeFIlYrRVtOqCl-1936@yahoo.com,Sobieskiego,Full-time,1996-08-08,Residential,7-15,On Leave,2.3999999999999977,
79522,Aaron,Anderson,397190227,DW-dIHrLMgtZbZ-1967@gmail.com,Mickiewicza,Part-time,1950-06-02,Rental,6-14,Available,2.2899999999999983,
56879,Christian,Harris,322941897,DW-lyNhDmNXS-5707@yandex.com,Malinowa,Full-time,1989-06-27,Rental,8-16,Available,1.21,
89619,Logan,Hernandez,701859240,DW-YhZbIkHOAXXLY-9687@protonmail.com,Slowackiego,Full-time,1956-10-01,Commercial,8-17,Available,1.32,
72537,Brandon,Ramirez,408944074,DW-KjrvOsKS-7232@wp.pl,Jesionowa,Full-time,2020-12-11,Residential,7-15,Available,2.3499999999999988,
18570,Kyle,Taylor,399503464,DW-SZEeOHIrN-7974@interia.pl,Mickiewicza,Full-time,1954-01-19,Residential,10-18,Available,1.56,
61369,Adam,Rodriguez,649308505,DW-CVapYwvddzyAf-4078@live.com,Chopina,Part-time,1974-11-15,Residential,10-18,Available,1.27,
81292,David,Miller,805340507,DW-iwpchYPZDXVdyRL-9865@op.pl,Szeroka,Full-time,1968-10-09,Commercial,7-16,Available,2.8399999999999994,
99515,Anthony,Lewis,833699458,DW-ZQqpbCoAvJnXdR-6593@mail.com,Modrzewiowa,Full-time,2016-05-20,Residential,10-18,Available,2.3099999999999987,
78039,David,King,445699044,DW-TPqbsZqVvchN-7050@tutanota.com,Waska,Full-time,1967-05-19,Residential,8-16,Available,1.72,
76937,Alex,Rodriguez,547515879,DW-YwWbDGWvyLvzR-1422@live.com,Norwida,Full-time,2016-11-01,Rental,6-14,Available,2.4299999999999984,
37273,Andrew,Rodriguez,309991453,DW-XpZwueCcvHGbi-9019@onet.pl,Krotka,Full-time,1960-08-11,Commercial,6-15,Available,1.9200000000000002,
85619,Michael,Young,266172037,DW-SJOXOzYgzvCO-0109@me.com,Chopina,Part-time,1950-10-22,Commercial,8-17,Available,1.08,
92861,David,Adams,645350314,DW-PfYEFaReoLIIk-4612@icloud.com,Modrzewiowa,Full-time,2012-09-24,Residential,8-16,Available,2.389999999999998,
85774,John,King,146510724,DW-KRAqXIaYXGwBKI-8339@aol.com,Sloneczna,Full-time,2007-12-25,Commercial,8-16,Available,1.1500000000000001,
12777,Adam,Mitchell,247597484,DW-BzSAfhJptv-1371@wp.pl,Jesionowa,Full-time,2018-10-30,Commercial,9-17,Available,1.1,
18412,Brian,Perez,548084123,DW-ZeTWOqBedKgUlvQk-2952@op.pl,Zeromskiego,Full-time,2012-02-13,Commercial,7-16,Available,1.3,
58220,Steve,King,838517661,DW-xSVQxPZHd-2381@tutanota.com,Chopina,Full-time,1966-11-13,Residential,6-14,Available,2.899999999999999,
83702,Owen,Williams,390311450,DW-HyUtkXWREKiTgJe-4351@tutanota.com,Norwida,Full-time,2021-11-11,Rental,6-14,Available,2.01,
22375,William,Garcia,628133897,DW-cVeadAmibwhO-5176@o2.pl,Jodlowa,Full-time,2021-09-08,Commercial,8-17,Available,2.659999999999999,
26011,Nathan,Wilson,746174130,DW-AuBSKoHzYzwFZE-7753@mail.com,Jana Pawla II,Full-time,1984-01-16,Rental,7-16,Available,1.52,
64629,Michael,Clark,366554838,DW-kMPOuEWprr-0255@mail.com,Mickiewicza,Full-time,1976-06-18,Residential,9-17,Available,2.3799999999999994,
22538,Daniel,Young,694091427,DW-QQtJRnWIPvI-3020@me.com,Wyspianskiego,Full-time,1973-03-02,Rental,8-16,Available,2.889999999999999,
83199,John,Gonzalez,508477942,DW-gTfhMjWgJcCYDxm-2499@icloud.com,Pilsudskiego,Full-time,1959-09-07,Rental,6-14,On Leave,1.73,
61605,Steve,Martinez,849396684,DW-umejIvgBxJlsqts-2406@o2.pl,Dabrowska,Full-time,1950-11-25,Commercial,10-18,Available,1.15,
86981,David,Wilson,364876871,DW-iuOupEyZUx-2090@onet.pl,Dworcowa,Full-time,2014-03-18,Rental,6-14,Available,2.68,
