RequestId,AskingPrice,BuyRent,isAgentAssigned,isMadeOnline,CreatedAt,FK_Estate,FK_CreatedBy
81,6441,Rent,0,1,2010-01-13 00:00,81,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
82,477565,Buy,0,1,2010-01-13 00:00,82,DW-htaiPuLGnc-7312@inbox.lv
83,28457,Rent,0,1,2010-01-13 00:00,83,DW-pHFxCMUCH-8750@live.com
84,4809,Rent,0,1,2010-01-13 00:00,84,DW-rcOWiTcbysF-1066@live.com
85,235798,Buy,0,1,2010-01-13 00:00,85,DW-TrYDDJsPawpLTSr-5103@yandex.com
86,12951,Rent,0,1,2010-01-13 00:00,86,DW-LxdnxWVTPmReOV-0573@outlook.com
87,13442,Rent,0,1,2010-01-13 00:00,87,DW-WfCCOzpNnZ-1907@yahoo.com
88,3446243,Buy,0,1,2010-01-13 00:00,88,DW-jzseIiHwd-4804@zoho.com
89,27960,Rent,0,1,2010-01-13 09:48,89,DW-AXqAZEmPvEh-0328@o2.pl
90,17672,Rent,0,1,2010-01-13 00:00,90,DW-SqUzPbdDYp-7433@aol.com
91,8785,Rent,0,0,2010-01-13 00:00,91,DW-NDpBWFtgNy-6620@gmx.com
92,6441,Rent,0,1,2010-01-14 00:00,92,DW-IkylNcTto-3380@zoho.com
93,1772591,Buy,0,1,2010-01-14 10:30,93,DW-ywOeSmGELMI-8246@me.com
94,7594,Rent,0,1,2010-01-14 09:54,94,DW-ptjOvWnkwuPcz-9986@hotmail.com
95,7044602,Buy,0,1,2010-01-14 18:19,95,DW-OuQgYxvqRYghTM-4428@me.com
96,5943362,Buy,0,1,2010-01-15 00:00,96,DW-aNobTdvgIDi-5918@o2.pl
97,1901730,Buy,0,1,2010-01-15 08:34,97,DW-NDpBWFtgNy-6620@gmx.com
98,5140,Rent,0,1,2010-01-15 00:00,98,DW-kMPPVpbhCpJtmnZ-5851@aol.com
99,26303,Rent,0,1,2010-01-15 00:00,99,DW-LaBjdmMpAtM-6344@hotmail.com
100,8370,Rent,0,1,2010-01-15 00:00,100,DW-aIhqpAPGBX-1583@interia.pl
101,3329577,Buy,1,1,2010-01-15 00:00,101,DW-dCGvfVvm-0544@live.com
102,4305068,Buy,1,1,2010-01-15 00:00,102,DW-kjTgjVTRTOEvL-3615@op.pl
103,929269,Buy,0,1,2010-01-15 00:00,103,DW-LaBjdmMpAtM-6344@hotmail.com
104,1677557,Buy,0,0,2010-01-16 00:00,104,DW-wAoTNJPUdRUOKc-6305@inbox.lv
105,839554,Buy,0,1,2010-01-16 00:00,105,DW-MZISJBnFfyfI-1134@inbox.lv
106,4364,Rent,0,1,2010-01-16 06:48,106,DW-yRbXSJesBZuIw-0889@wp.pl
107,12585,Rent,0,1,2010-01-16 00:00,107,DW-mfTjgvdR-7369@protonmail.com
108,901207,Buy,0,1,2010-01-16 06:54,108,DW-xuSVbAXDBlJ-4192@yandex.com
109,877263,Buy,0,1,2010-01-16 15:59,109,DW-SqUzPbdDYp-7433@aol.com
110,4746,Rent,0,1,2010-01-16 00:00,110,DW-aIhqpAPGBX-1583@interia.pl
111,12337,Rent,0,1,2010-01-16 00:00,111,DW-xScFYfQGCMZ-7751@live.com
112,546177,Buy,0,1,2010-01-16 00:00,112,DW-BQccCDAbFzDQB-2358@yahoo.com
113,698645,Buy,0,0,2010-01-16 15:36,113,DW-OuQgYxvqRYghTM-4428@me.com
114,6621,Rent,0,1,2010-01-17 00:00,114,DW-KunFaSFPrdpC-8811@gmx.com
115,204026,Buy,0,1,2010-01-17 11:01,115,DW-ukLUPzBD-5352@yahoo.com
116,47814,Rent,0,1,2010-01-17 00:00,116,DW-NDpBWFtgNy-6620@gmx.com
117,9700,Rent,1,1,2010-01-17 00:00,117,DW-NDpBWFtgNy-6620@gmx.com
118,7923,Rent,0,1,2010-01-17 00:00,118,DW-dCGvfVvm-0544@live.com
119,6533,Rent,0,1,2010-01-17 00:00,119,DW-XMaCjvEGnubvg-7021@onet.pl
120,19013,Rent,0,1,2010-01-18 00:00,120,DW-CJCzYoSBrcinY-0552@inbox.lv
121,6745347,Buy,0,1,2010-01-18 00:00,121,DW-AXqAZEmPvEh-0328@o2.pl
122,17747,Rent,0,0,2010-01-18 00:00,122,DW-OuQgYxvqRYghTM-4428@me.com
123,1593710,Buy,0,1,2010-01-18 00:00,123,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
124,26161,Rent,0,1,2010-01-19 00:00,124,DW-AblMqwiYhVS-9046@yandex.com
125,1001112,Buy,1,1,2010-01-19 00:00,125,DW-AXqAZEmPvEh-0328@o2.pl
126,1285994,Buy,0,1,2010-01-19 11:28,126,DW-rcOWiTcbysF-1066@live.com
127,24433,Rent,0,1,2010-01-19 00:00,127,DW-WfCCOzpNnZ-1907@yahoo.com
128,1810,Rent,0,1,2010-01-19 00:00,128,DW-PrQRMCsRdIQCqc-3441@aol.com
129,44956,Rent,0,1,2010-01-19 00:00,129,DW-xScFYfQGCMZ-7751@live.com
130,1618886,Buy,1,0,2010-01-19 00:00,130,DW-ncShbjxDmlzx-0460@tutanota.com
131,33069,Rent,0,1,2010-01-20 00:00,131,DW-jJzBoPjUBtX-7561@gmail.com
132,45662,Rent,0,0,2010-01-20 00:00,132,DW-SPjujOtwTExcpPR-1262@me.com
133,1173556,Buy,0,1,2010-01-20 00:00,133,DW-CJCzYoSBrcinY-0552@inbox.lv
134,1775902,Buy,0,1,2010-01-20 00:00,134,DW-kjTgjVTRTOEvL-3615@op.pl
135,898529,Buy,0,1,2010-01-20 00:00,135,DW-MzlJSrnupgps-7531@yahoo.com
136,1672920,Buy,1,0,2010-01-20 00:00,136,DW-uoUViyTHFuOiOI-0563@icloud.com
137,4898850,Buy,0,1,2010-01-20 00:00,137,DW-pIJQqKdQX-3133@zoho.com
138,19050,Rent,0,1,2010-01-20 00:00,138,DW-NWeiCCRdDOoPYA-4927@onet.pl
139,43521,Rent,0,1,2010-01-21 00:00,139,DW-HwSghBFLRJGBm-0732@yahoo.com
140,18509,Rent,0,1,2010-01-21 00:00,140,DW-mfTjgvdR-7369@protonmail.com
141,13164,Rent,0,1,2010-01-21 00:00,141,DW-xuSVbAXDBlJ-4192@yandex.com
142,3227,Rent,0,1,2010-01-21 00:00,142,DW-LaBjdmMpAtM-6344@hotmail.com
143,26516,Rent,0,1,2010-01-21 00:00,143,DW-iwoeSFzdGD-5525@protonmail.com
144,14195,Rent,0,1,2010-01-21 00:00,144,DW-wAoTNJPUdRUOKc-6305@inbox.lv
145,43848,Rent,0,1,2010-01-22 00:00,145,DW-jdqImdhAO-3054@gmx.com
146,11687,Rent,0,1,2010-01-22 00:00,146,DW-FtTDMwAa-4639@zoho.com
147,11021,Rent,0,0,2010-01-22 00:00,147,DW-hTVLXiaiAlN-3229@tutanota.com
148,2382403,Buy,0,1,2010-01-22 00:00,148,DW-WfCCOzpNnZ-1907@yahoo.com
149,3838505,Buy,0,1,2010-01-23 00:00,149,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
150,7783907,Buy,1,1,2010-01-23 00:00,150,DW-aIhqpAPGBX-1583@interia.pl
151,1029512,Buy,0,1,2010-01-23 00:00,151,DW-VpJNZqVXSI-6644@icloud.com
152,826057,Buy,0,1,2010-01-23 00:00,152,DW-nEcWJuTBlKY-7722@hotmail.com
153,3256140,Buy,1,1,2010-01-23 00:00,153,DW-HwSghBFLRJGBm-0732@yahoo.com
154,7110632,Buy,0,1,2010-01-23 00:00,154,DW-NWeiCCRdDOoPYA-4927@onet.pl
155,965259,Buy,1,1,2010-01-23 10:37,155,DW-aNobTdvgIDi-5918@o2.pl
156,3814901,Buy,1,0,2010-01-23 19:14,156,DW-zKXzCrLcvE-1891@zoho.com
157,8238,Rent,0,1,2010-01-23 00:00,157,DW-zKXzCrLcvE-1891@zoho.com
158,13681,Rent,0,1,2010-01-23 00:00,158,DW-xuSVbAXDBlJ-4192@yandex.com
159,42952,Rent,0,1,2010-01-23 08:08,159,DW-NsgYbxwVvMnTsY-0758@yahoo.com
160,49355,Rent,0,1,2010-01-24 09:35,160,DW-JhaRFHsJqZwyIK-4587@inbox.lv
161,1817156,Buy,0,1,2010-01-24 00:00,161,DW-SqUzPbdDYp-7433@aol.com
162,7651499,Buy,1,1,2010-01-24 00:00,162,DW-rRhVRYTFKfwD-2382@live.com
163,7812,Rent,0,1,2010-01-24 00:00,163,DW-nEcWJuTBlKY-7722@hotmail.com
164,25845,Rent,1,1,2010-01-24 00:00,164,DW-dCGvfVvm-0544@live.com
165,5228,Rent,0,1,2010-01-24 00:00,165,DW-pbhgVUavVhcL-3001@zoho.com
166,9294415,Buy,0,0,2010-01-24 06:28,166,DW-NDotOEavshBzE-5889@wp.pl
167,12418,Rent,0,1,2010-01-24 00:00,167,DW-qFaGBhuF-5132@mail.com
168,41384,Rent,0,1,2010-01-25 00:00,168,DW-CvBTPiwQePE-8043@yahoo.com
169,1550330,Buy,0,0,2010-01-25 00:00,169,DW-kMPPVpbhCpJtmnZ-5851@aol.com
170,26878,Rent,0,0,2010-01-25 00:00,170,DW-PccPmTnupYrFDbTY-6849@interia.pl
171,14582,Rent,0,1,2010-01-25 00:00,171,DW-fIAFoPsRikDTQ-3550@me.com
172,45128,Rent,0,1,2010-01-25 00:00,172,DW-sTMbjkXn-9843@live.com
173,36796,Rent,1,1,2010-01-25 00:00,173,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
174,10764,Rent,0,1,2010-01-25 21:22,174,DW-NDpBWFtgNy-6620@gmx.com
175,16049,Rent,0,1,2010-01-25 00:00,175,DW-yRbXSJesBZuIw-0889@wp.pl
176,3535,Rent,0,1,2010-01-25 00:00,176,DW-HUKBpcPrjY-6493@hotmail.com
177,24451,Rent,0,1,2010-01-25 00:00,177,DW-KunFaSFPrdpC-8811@gmx.com
178,6906006,Buy,0,1,2010-01-25 00:00,178,DW-HwSghBFLRJGBm-0732@yahoo.com
179,1068084,Buy,0,0,2010-01-25 16:15,179,DW-SycjpzeGCrbmB-8278@interia.pl
180,12976,Rent,1,1,2010-01-25 00:00,180,DW-WVPejHtsO-9828@protonmail.com
181,760566,Buy,0,1,2010-01-25 14:09,181,DW-RoUIfppwfBiRr-8668@outlook.com
182,1408485,Buy,0,1,2010-01-25 00:00,182,DW-mlPeVCcKuQJOQpj-8260@gmx.com
183,1795316,Buy,1,1,2010-01-26 00:00,183,DW-jzseIiHwd-4804@zoho.com
184,8138,Rent,0,1,2010-01-26 00:00,184,DW-ODAaOxpQ-0051@hotmail.com
185,12618,Rent,0,1,2010-01-26 00:00,185,DW-ynDsNpEydFa-7494@yandex.com
186,993134,Buy,0,1,2010-01-26 10:54,186,DW-yWFXsBOAVeitnVQn-5183@gmail.com
187,17880,Rent,0,1,2010-01-26 00:00,187,DW-uoUViyTHFuOiOI-0563@icloud.com
188,1185168,Buy,0,1,2010-01-26 00:00,188,DW-ptjOvWnkwuPcz-9986@hotmail.com
189,14063,Rent,0,1,2010-01-26 00:00,189,DW-SqUzPbdDYp-7433@aol.com
190,156248,Buy,0,0,2010-01-26 00:00,190,DW-ToYtMTwEYmoIC-4672@onet.pl
191,7891,Rent,0,1,2010-01-26 00:00,191,DW-NDpBWFtgNy-6620@gmx.com
192,291157,Buy,1,1,2010-01-27 00:00,192,DW-mfTjgvdR-7369@protonmail.com
193,618282,Buy,0,1,2010-01-27 12:09,193,DW-JhaRFHsJqZwyIK-4587@inbox.lv
194,8108866,Buy,0,1,2010-01-27 10:12,194,DW-nYVXSRXiE-7541@op.pl
195,28839,Rent,0,1,2010-01-27 00:00,195,DW-fIAFoPsRikDTQ-3550@me.com
196,12724,Rent,0,1,2010-01-28 00:00,196,DW-HwSghBFLRJGBm-0732@yahoo.com
197,2589037,Buy,1,1,2010-01-28 00:00,197,DW-RfKQgiyPinFgWl-8951@interia.pl
198,3158580,Buy,0,1,2010-01-28 12:35,198,DW-jdqImdhAO-3054@gmx.com
199,1988009,Buy,0,1,2010-01-28 00:00,199,DW-kjTgjVTRTOEvL-3615@op.pl
200,1167418,Buy,0,0,2010-01-28 00:00,200,DW-GWCwBrDuIhtBpXsw-4102@aol.com
201,1711506,Buy,0,1,2010-01-28 00:00,201,DW-AXqAZEmPvEh-0328@o2.pl
202,470586,Buy,0,1,2010-01-28 07:31,202,DW-JhaRFHsJqZwyIK-4587@inbox.lv
203,2052537,Buy,1,1,2010-01-28 00:00,203,DW-YTOaznQR-9168@live.com
204,39525,Rent,0,1,2010-01-28 00:00,204,DW-ZekpZUdcvL-5712@inbox.lv
205,2885409,Buy,0,1,2010-01-28 00:00,205,DW-dbeLvzPlX-2463@aol.com
206,13192,Rent,0,1,2010-01-28 00:00,206,DW-NDpBWFtgNy-6620@gmx.com
207,98582,Buy,0,1,2010-01-29 00:00,207,DW-nYVXSRXiE-7541@op.pl
208,1440500,Buy,1,0,2010-01-29 08:50,208,DW-uoUViyTHFuOiOI-0563@icloud.com
209,2645,Rent,0,1,2010-01-29 00:00,209,DW-rRhVRYTFKfwD-2382@live.com
210,1881623,Buy,0,1,2010-01-29 00:00,210,DW-yRbXSJesBZuIw-0889@wp.pl
211,1620896,Buy,0,1,2010-01-29 00:00,211,DW-ODAaOxpQ-0051@hotmail.com
212,9043534,Buy,0,1,2010-01-29 00:00,212,DW-PHXFZnXn-0378@op.pl
213,18360,Rent,0,1,2010-01-29 00:00,213,DW-pbhgVUavVhcL-3001@zoho.com
214,6874,Rent,0,1,2010-01-29 00:00,214,DW-dCGvfVvm-0544@live.com
215,44308,Rent,0,1,2010-01-29 00:00,215,DW-HUKBpcPrjY-6493@hotmail.com
216,19667,Rent,0,1,2010-01-29 17:37,216,DW-pbhgVUavVhcL-3001@zoho.com
217,29980,Rent,0,1,2010-01-30 00:00,217,DW-MZISJBnFfyfI-1134@inbox.lv
218,8624812,Buy,0,1,2010-01-30 00:00,218,DW-WVPejHtsO-9828@protonmail.com
219,13427,Rent,0,1,2010-01-30 15:09,219,DW-ncShbjxDmlzx-0460@tutanota.com
220,9441002,Buy,0,1,2010-01-30 19:43,220,DW-xHrlUaFPoRdMyYuc-5841@aol.com
221,35541,Rent,0,1,2010-01-30 00:00,221,DW-PccPmTnupYrFDbTY-6849@interia.pl
222,580609,Buy,0,1,2010-01-30 00:00,222,DW-uoUViyTHFuOiOI-0563@icloud.com
223,15868,Rent,0,1,2010-01-30 00:00,223,DW-CvBTPiwQePE-8043@yahoo.com
224,3631,Rent,0,1,2010-01-30 00:00,224,DW-ptjOvWnkwuPcz-9986@hotmail.com
225,24850,Rent,0,1,2010-01-30 00:00,225,DW-PccPmTnupYrFDbTY-6849@interia.pl
226,21022,Rent,0,1,2010-01-30 18:10,226,DW-QeBFnRBFQIawdDC-7893@live.com
227,112683,Buy,1,1,2010-01-31 00:00,227,DW-FtTDMwAa-4639@zoho.com
228,25062,Rent,1,1,2010-01-31 14:40,228,DW-rKGOvFbEGmAFv-0365@mail.com
229,797567,Buy,0,1,2010-01-31 00:00,229,DW-uKKmETAt-7970@o2.pl
230,8302996,Buy,0,1,2010-01-31 00:00,230,DW-mYUusqOOVnImvXkj-2611@wp.pl
231,2740494,Buy,0,1,2010-01-31 00:00,231,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
232,34446,Rent,0,1,2010-01-31 00:00,232,DW-pbhgVUavVhcL-3001@zoho.com
233,10964,Rent,0,1,2010-02-01 07:43,233,DW-xScFYfQGCMZ-7751@live.com
234,605887,Buy,0,1,2010-02-01 00:00,234,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
235,2552739,Buy,0,1,2010-02-01 00:00,235,DW-RwBnpSdSG-1473@protonmail.com
236,10952,Rent,0,1,2010-02-01 00:00,236,DW-pIJQqKdQX-3133@zoho.com
237,16553,Rent,0,1,2010-02-01 00:00,237,DW-nQAvedccWLA-2851@hotmail.com
238,4246,Rent,0,0,2010-02-01 00:00,238,DW-iwoeSFzdGD-5525@protonmail.com
239,48634,Rent,0,1,2010-02-01 00:00,239,DW-JhaRFHsJqZwyIK-4587@inbox.lv
240,1321653,Buy,0,1,2010-02-01 10:06,240,DW-wAoTNJPUdRUOKc-6305@inbox.lv
241,365977,Buy,0,0,2010-02-01 00:00,241,DW-GFmIyWmopTWWcIlm-2530@aol.com
242,4322,Rent,0,1,2010-02-01 08:04,242,DW-FxQELBKZ-7849@o2.pl
243,372771,Buy,0,1,2010-02-01 00:00,243,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
244,40453,Rent,1,1,2010-02-01 00:00,244,DW-DCtyPSadjyKO-8044@inbox.lv
245,18892,Rent,0,1,2010-02-01 00:00,245,DW-ARycxVqqZdNxnBm-7661@aol.com
246,3381062,Buy,0,0,2010-02-01 00:00,246,DW-iZBUFpSTAMarkKzn-3375@tutanota.com
247,4905,Rent,0,1,2010-02-02 00:00,247,DW-alWfgcrg-1823@gmx.com
248,7527701,Buy,1,1,2010-02-02 00:00,248,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
249,29897,Rent,1,1,2010-02-02 00:00,249,DW-sTMbjkXn-9843@live.com
250,37694,Rent,1,1,2010-02-02 00:00,250,DW-HUKBpcPrjY-6493@hotmail.com
251,27030,Rent,0,1,2010-02-02 00:00,251,DW-aIhqpAPGBX-1583@interia.pl
252,18262,Rent,1,1,2010-02-02 00:00,252,DW-YTOaznQR-9168@live.com
253,805813,Buy,0,1,2010-02-02 00:00,253,DW-nSzyfqllWGToFp-4677@wp.pl
254,8535,Rent,0,1,2010-02-02 00:00,254,DW-vgCtMaiAa-9804@live.com
255,3242957,Buy,0,1,2010-02-03 15:23,255,DW-yWFXsBOAVeitnVQn-5183@gmail.com
256,13429,Rent,0,1,2010-02-03 11:13,256,DW-RrIqdNrYN-2030@protonmail.com
257,4555157,Buy,0,1,2010-02-03 00:00,257,DW-klwAKgwZlQBi-3178@o2.pl
258,3909324,Buy,1,1,2010-02-03 00:00,258,DW-ODAaOxpQ-0051@hotmail.com
259,1358950,Buy,1,1,2010-02-03 00:00,259,DW-HwSghBFLRJGBm-0732@yahoo.com
260,2428139,Buy,0,1,2010-02-03 00:00,260,DW-KunFaSFPrdpC-8811@gmx.com
261,784830,Buy,0,1,2010-02-03 00:00,261,DW-BQccCDAbFzDQB-2358@yahoo.com
262,766915,Buy,0,1,2010-02-03 00:00,262,DW-QeBFnRBFQIawdDC-7893@live.com
263,1807210,Buy,0,0,2010-02-03 00:00,263,DW-uXJsLbaJed-5197@yahoo.com
264,25834,Rent,0,1,2010-02-03 00:00,264,DW-vgCtMaiAa-9804@live.com
265,33493,Rent,0,1,2010-02-04 00:00,265,DW-ARycxVqqZdNxnBm-7661@aol.com
266,3370143,Buy,0,1,2010-02-04 07:02,266,DW-BQFYlNXQJDEa-1392@gmail.com
267,28079,Rent,0,1,2010-02-04 00:00,267,DW-YTOaznQR-9168@live.com
268,701544,Buy,0,0,2010-02-04 00:00,268,DW-ptjOvWnkwuPcz-9986@hotmail.com
269,2743428,Buy,0,1,2010-02-04 00:00,269,DW-lxuWEXvSPiYKcX-1152@interia.pl
270,9475125,Buy,0,1,2010-02-05 00:00,270,DW-eDYdGVfaSZKYQGLT-2377@inbox.lv
271,1560832,Buy,0,1,2010-02-05 00:00,271,DW-kkxqgIxiK-2203@icloud.com
272,2255532,Buy,0,0,2010-02-05 09:06,272,DW-qbstKyTVnf-2963@interia.pl
273,14296,Rent,0,1,2010-02-05 12:26,273,DW-xgmvAcOsqJvD-5706@protonmail.com
